Type,Name,Population,X,Y,COUNTY_08,DIST_08,CLAN_08,DEMAND_MW,HOSP_MAIN_LOC,HOSP_ALT-NAME,Clinics,ClinDem,HC,HCDem,SumHlthDem,Pri_Schools,PriSchDem,Sec_Schools,SecSchDem,Both_PriSec,BothPriSecDem,SumEduDem,demand (household) > target household penetration rate,FullProdDem,demand (productive) > projected productive demand,demand (social infrastructure) > projected health facility demand per year,demand (social infrastructure) > projected education facility demand per year
Mine,Arcelor Mittal Mine(5YR),0,548185,838497,Nimba,Yarmein,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Bea Mountain/New Liberty Mine (17YR),0,525298,754127,Nimba,Boe & Quilla,,5,,,,,,,,,,,,,,,0,30681000,30681000,0,0
Mine,Cestos Mine(Never?),0,458311,647187,Rivercess,Central Rivercess,,5,,,,,,,,,,,,,,,0,30681000,30681000,0,0
Mine,"China Union, Bong Mines (5YR)",0,428526,767436,Bong,Yeallequelleh,,132,,,,,,,,,,,,,,,0,809978400,809978400,0,0
Mine,Kitoma and Goe Fantro Mine(17YR),0,507823,763973,Nimba,Meinpea-Mahn,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Nimba Mine(5YR),0,526384,800252,Nimba,Yarpea Mahn,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Putu Range Mine(17YR),0,586112,656463,Grand Gedeh,Tchien,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Western Cluster Mine-Bomi(5YR),0,299923,744660,Gbarpolu,Bopolu,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Western Cluster Mine-Gbarpolu (30YR),0,355320,820146,Grand Cape Mount,Golakonneh,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Western Cluster Mine-GrandCapeMt(30YR),0,273994,784154,Bomi,Klay,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Mine,Wologisi Mine(Never?),0,405505,883650,Lofa,Voinjama,,100,,,,,,,,,,,,,,,0,613620000,613620000,0,0
Palm Oil Plantation,Palm Oil Plantation 3,0,269906,748366,Grand Cape Mount,Garwula,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 4,0,328120,733179,Montserrado,Todee,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 1,0,358037,913839,Lofa,Foya,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 5,0,378741,758490,Bong,Salala,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 6,0,383001,648679,Grand Bassa,Commonwealth2,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 2,0,436955,793924,Bong,Suakoko,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
